Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0
C00,accepted,0,170,0,116,48,1,7.61577,1
C01,rejected,255,0,0,98,68,1,6.7082,1
C02,accepted,0,170,0,188,68,1,8.06226,1
C03,rejected,255,0,0,160,41,1,11.7047,1
C04,accepted,0,170,0,171,36,1,13.1529,1
C05,accepted,0,170,0,166,66,1,9.48683,1
C06,accepted,0,170,0,156,45,1,11.1803,1
C07,rejected,255,0,0,0,0,0,0,1
C08,rejected,255,0,0,0,0,0,0,1
C09,rejected,255,0,0,46,102,1,7.07107,1
C10,rejected,255,0,0,0,0,0,0,1
C11,rejected,255,0,0,0,0,0,0,1
C12,rejected,255,0,0,0,0,0,0,1
C13,rejected,255,0,0,0,0,0,0,1
C14,rejected,255,0,0,0,0,0,0,1
C15,rejected,255,0,0,0,0,0,0,1
C16,rejected,255,0,0,0,0,0,0,1
C17,rejected,255,0,0,42,125,1,11.7047,1
C18,rejected,255,0,0,116,69,1,11.1803,1
C19,rejected,255,0,0,0,0,0,0,1
C20,rejected,255,0,0,103,117,1,5.38516,1
C21,rejected,255,0,0,0,0,0,0,1
C22,rejected,255,0,0,120,89,1,8.544,1
C23,rejected,255,0,0,0,0,0,0,1
C24,rejected,255,0,0,0,0,0,0,1
C25,rejected,255,0,0,0,0,0,0,1
C26,rejected,255,0,0,0,0,0,0,1
C27,accepted,0,170,0,103,87,1,13,1
C28,accepted,0,170,0,86,82,1,21.5407,1
C29,rejected,255,0,0,98,121,1,5.38516,1
C30,accepted,0,170,0,183,108,1,8.544,1
C31,accepted,0,170,0,152,83,2,8.544,1
C32,rejected,255,0,0,0,0,0,0,1
C33,accepted,0,170,0,133,78,1,10,1
C34,accepted,0,170,0,146,91,1,8.06226,1
C35,accepted,0,170,0,186,79,1,8.24621,1
C36,accepted,0,170,0,224,92,1,8.24621,1
C37,rejected,255,0,0,70,152,3,10.4403,1
C38,rejected,255,0,0,79,162,4,5.38516,1
C39,accepted,0,170,0,173,157,1,7.61577,1
C40,rejected,255,0,0,179,132,1,8.06226,1
C41,accepted,0,170,0,165,128,1,8.06226,1
C42,accepted,0,170,0,138,145,1,8.60233,1
C43,accepted,0,170,0,222,129,1,8.24621,1
C44,accepted,0,170,0,264,151,1,13.6015,1
C45,accepted,0,170,0,96,51,1,15.6205,1
