Name,Status,ColorR,ColorG,ColorB,CentroidX,CentroidY,NumComponents,Size,ActiveSegment0
C00,rejected,255,0,0,84,57,2,17,1
C01,accepted,0,170,0,110,66,1,10.8167,1
C02,accepted,0,170,0,143,64,1,12.2066,1
C03,accepted,0,170,0,144,29,1,11.1803,1
C04,accepted,0,170,0,141,48,1,13.0384,1
C05,rejected,255,0,0,0,0,0,0,1
C06,accepted,0,170,0,152,39,1,10.2956,1
C07,accepted,0,170,0,137,52,1,12.0416,1
C08,accepted,0,170,0,180,66,1,8.544,1
C09,accepted,0,170,0,158,67,1,8.544,1
C10,rejected,255,0,0,243,6,2,14.7648,1
C11,rejected,255,0,0,307,6,1,14.4222,1
C12,rejected,255,0,0,113,86,1,11.1803,1
C13,rejected,255,0,0,0,0,0,0,1
C14,rejected,255,0,0,0,0,0,0,1
C15,accepted,0,170,0,122,116,1,8.544,1
C16,rejected,255,0,0,98,103,1,10.198,1
C17,accepted,0,170,0,104,120,1,8.60233,1
C18,rejected,255,0,0,100,122,1,12.6491,1
C19,rejected,255,0,0,99,98,2,14.8661,1
C20,rejected,255,0,0,0,0,0,0,1
C21,accepted,0,170,0,126,120,1,8.544,1
C22,accepted,0,170,0,80,79,1,20.2485,1
C23,rejected,255,0,0,123,78,1,12.53,1
C24,accepted,0,170,0,178,86,1,8.60233,1
C25,accepted,0,170,0,158,86,1,13.0384,1
C26,accepted,0,170,0,139,117,1,9.48683,1
C27,accepted,0,170,0,138,90,1,8.06226,1
C28,accepted,0,170,0,154,122,1,8.60233,1
C29,accepted,0,170,0,161,97,1,9.48683,1
C30,accepted,0,170,0,145,81,1,8.06226,1
C31,accepted,0,170,0,147,105,1,8.06226,1
C32,rejected,255,0,0,203,115,2,9.21954,1
C33,accepted,0,170,0,116,170,1,12.8062,1
C34,rejected,255,0,0,127,157,1,9.48683,1
C35,accepted,0,170,0,83,131,2,15.8114,1
C36,accepted,0,170,0,133,140,1,8.06226,1
C37,accepted,0,170,0,166,151,1,8.06226,1
C38,accepted,0,170,0,192,149,1,8.544,1
C39,rejected,255,0,0,209,156,1,13.3417,1
C40,rejected,255,0,0,210,186,1,10.2956,1
C41,accepted,0,170,0,257,147,1,12.6491,1
C42,rejected,255,0,0,64,144,3,9.21954,1
C43,accepted,0,170,0,128,29,1,15.8114,1
C44,accepted,0,170,0,188,82,1,9.48683,1
C45,rejected,255,0,0,103,145,1,14.3178,1
C46,accepted,0,170,0,214,126,1,8.544,1
C47,accepted,0,170,0,178,77,1,8.544,1
