trial_num,Block,Trial Type,Reward Size,Trial Possible (s),Start Time (s),Choice Time (s),Collection Time (s),Shock Ocurred,Omission,Win or Loss,Learning Stratergy
1,1.0,Forced,Large,1.0,90.34800000000001,95.207,96.32900000000001,False,,,
2,1.0,Forced,Small,1.0,104.892,111.80699999999999,112.719,False,,,
3,1.0,Forced,Large,1.0,130.373,137.826,138.765,False,,,
4,1.0,Forced,Small,1.0,152.55499999999995,160.148,161.09199999999998,False,,,
5,1.0,Forced,Large,1.0,169.938,172.64799999999997,173.661,False,,,
6,1.0,Forced,Large,1.0,181.807,185.16799999999995,186.25799999999998,False,,,
7,1.0,Forced,Small,1.0,196.34199999999998,205.652,206.79999999999998,False,,,
8,1.0,Forced,Small,1.0,218.02599999999998,224.873,225.96699999999998,False,,,
9,1.0,Free,Small,1.0,234.487,236.815,238.035,False,,,
10,1.0,Free,Large,1.0,246.503,249.673,250.68099999999998,False,,Win,
11,1.0,Free,Large,1.0,259.581,263.355,264.314,False,,Win,Win Stay
12,1.0,Free,Large,1.0,274.806,277.215,278.199,False,,Win,Win Stay
13,1.0,Free,Large,1.0,290.858,299.775,300.825,False,,Win,Win Stay
14,1.0,Free,Large,1.0,309.57,312.61199999999997,313.5590000000001,False,,Win,Win Stay
15,1.0,Free,Large,1.0,324.233,327.167,328.032,False,,Win,Win Stay
16,1.0,Free,Large,1.0,341.216,343.3760000000001,344.238,False,,Win,Win Stay
17,1.0,Free,Large,1.0,352.957,356.077,356.976,False,,Win,Win Stay
18,1.0,Free,Large,1.0,364.977,367.756,368.803,False,,Win,Win Stay
19,1.0,Free,Large,1.0,378.13,379.62399999999997,380.593,False,,Win,Win Stay
20,1.0,Free,Large,1.0,388.766,390.736,391.701,False,,Win,Win Stay
21,1.0,Free,Large,1.0,399.731,401.937,402.911,False,,Win,Win Stay
22,1.0,Free,Large,1.0,411.13599999999997,413.001,413.852,False,,Win,Win Stay
23,1.0,Free,Large,1.0,423.579,427.3,428.279,False,,Win,Win Stay
24,1.0,Free,Large,1.0,436.62,438.481,439.364,False,,Win,Win Stay
25,1.0,Free,Large,1.0,457.808,461.001,462.007,False,,Win,Win Stay
26,1.0,Free,Large,1.0,470.051,471.341,472.625,False,,Win,Win Stay
27,1.0,Free,Large,1.0,480.948,483.486,484.466,False,,Win,Win Stay
28,1.0,Free,Large,1.0,492.671,494.558,495.471,False,,Win,Win Stay
29,1.0,Free,Large,1.0,503.851,505.932,506.908,False,,Win,Win Stay
30,1.0,Free,Large,1.0,515.9060000000001,519.174,520.279,False,,Win,Win Stay
31,2.0,Forced,Small,1.0,528.766,534.731,535.819,False,,,
32,2.0,Forced,Large,1.0,545.585,547.2429999999999,553.1850000000002,True,,,
33,2.0,Forced,,,584.672,595.894,,False,ITI,,
34,2.0,Forced,Small,1.0,601.611,608.47,609.581,False,,,
35,2.0,Forced,Large,1.0,621.002,623.982,629.127,True,,,
36,2.0,Forced,Small,1.0,663.015,681.871,682.91,False,,,
37,2.0,Forced,Large,1.0,691.712,694.4309999999998,695.4309999999998,False,,,
38,2.0,Forced,Small,1.0,707.4889999999998,713.991,715.143,False,,,
39,2.0,Forced,Large,1.0,723.651,725.455,726.5600000000002,False,,,
40,2.0,Free,Large,1.0,747.512,750.0930000000002,751.2,False,,Win,
41,2.0,Free,Large,1.0,760.077,762.947,763.9559999999998,False,,Win,Win Stay
42,2.0,Free,Large,1.0,772.788,775.778,778.189,True,,Loss,Win Stay
43,2.0,Free,Small,1.0,789.751,796.0630000000001,797.1800000000002,False,,,Lose Shift
44,2.0,Free,Large,1.0,806.0809999999998,808.5809999999998,811.5909999999999,True,,Loss,
45,2.0,Free,Large,1.0,834.928,835.709,840.0409999999999,True,,Loss,
46,2.0,Free,Large,1.0,853.2189999999999,856.0650000000002,859.4459999999998,True,,Loss,
47,2.0,Free,Large,1.0,885.651,890.515,892.8330000000002,False,,Win,
48,2.0,Free,Large,1.0,910.561,913.677,915.182,False,,Win,Win Stay
49,2.0,Free,Large,1.0,937.032,939.951,942.973,True,,Loss,Win Stay
50,2.0,Free,Large,1.0,960.199,963.817,966.74,True,,Loss,
51,2.0,Free,Large,1.0,978.145,984.542,988.477,True,,Loss,
52,2.0,Free,Large,1.0,996.7139999999999,999.21,1005.496,False,,Win,
53,2.0,Free,Large,1.0,1017.068,1031.9240000000002,1033.236,False,,Win,Win Stay
54,2.0,Free,Large,1.0,1044.3290000000002,1048.5220000000002,1052.419,True,,Loss,Win Stay
55,2.0,Free,Large,1.0,1060.6559999999997,1063.49,1068.277,True,,Loss,
56,2.0,Free,Large,1.0,1077.8690000000001,1081.153,1086.9980000000005,True,,Loss,
57,2.0,Free,Small,1.0,1101.779,1113.979,1115.3770000000002,False,,,Lose Shift
58,2.0,Free,Small,1.0,1129.5890000000002,1152.5720000000001,1155.4660000000001,False,,,
59,2.0,Free,Small,1.0,1164.567,1168.6580000000001,1171.226,False,,,
60,2.0,Free,Large,1.0,1179.827,1190.3590000000002,1191.3310000000001,False,,Win,
61,2.0,Free,Large,1.0,1199.3310000000001,1228.1760000000002,1228.7040000000002,True,,Loss,Win Stay
62,3.0,Forced,Large,1.0,1239.6860000000001,1244.815,1248.967,True,,,
63,3.0,Forced,,,1257.218,1295.218,,False,ITI,,
64,3.0,Forced,,,1303.5430000000001,1341.5430000000001,,False,ITI,,
65,3.0,Forced,Small,1.0,1341.9390000000003,1356.026,1363.7090000000005,False,,,
66,3.0,Forced,,,1372.5390000000002,1391.2620000000002,,False,ITI,,
67,3.0,Forced,Large,1.0,1396.5040000000001,1405.1080000000002,1405.4440000000002,True,,,
68,3.0,Forced,,,1413.451,1451.451,,False,ITI,,
69,3.0,Forced,,,1455.795,1468.951,,False,ITI,,
70,3.0,Forced,,,1473.153,1499.97,,False,ITI,,
71,3.0,Forced,,,1501.056,1539.056,,False,ITI,,
72,3.0,Forced,Large,1.0,1590.1830000000002,1616.5200000000002,1617.652,False,,,
73,3.0,Forced,Small,1.0,1626.0430000000001,1650.931,1653.403,False,,,
74,3.0,Forced,Large,1.0,1665.0320000000002,1686.0740000000005,1688.019,True,,,
75,3.0,Forced,,,1707.882,1745.882,,False,ITI,,
76,3.0,Forced,Small,1.0,1748.6070000000002,1773.595,1775.3670000000002,False,,,
77,3.0,Forced,Small,1.0,1786.9440000000002,1799.8960000000002,1801.2610000000002,False,,,
78,3.0,Free,Small,1.0,1810.333,1827.0870000000002,1828.3780000000002,False,,,
79,3.0,Free,Small,1.0,1861.4450000000002,1867.4660000000001,1868.623,False,,,
80,3.0,Free,Small,1.0,1888.432,1912.228,1913.2910000000002,False,,,
81,3.0,Free,Small,1.0,1936.795,1939.563,1940.652,False,,,
82,3.0,Free,Small,1.0,1950.3670000000002,1953.517,1954.7530000000002,False,,,
83,3.0,Free,Small,1.0,1966.363,1972.8010000000002,1973.8660000000002,False,,,
84,3.0,Free,Small,1.0,1981.9950000000001,1986.7220000000002,1987.652,False,,,
85,3.0,Free,Small,1.0,1995.7050000000002,1999.72,2000.806,False,,,
86,3.0,Free,Small,1.0,2013.181,2025.7,2032.0620000000001,False,,,
87,3.0,Free,Large,1.0,2040.7710000000002,2042.6930000000002,2044.6670000000001,True,,Loss,
88,3.0,Free,Small,1.0,2053.615,2076.366,2077.487,False,,,Lose Shift
89,3.0,Free,Small,1.0,2091.2349999999997,2097.8199999999997,2099.207,False,,,
90,3.0,Free,Small,1.0,2117.792,2129.556,2130.449,False,,,
91,3.0,Free,Small,1.0,2139.41,2147.116,2148.707,False,,,
92,3.0,Free,Small,1.0,2157.935,2172.708,2173.848,False,,,
93,3.0,Free,Small,1.0,2185.4719999999998,2190.426,2192.991,False,,,
94,3.0,Free,Small,1.0,2201.67,2208.725,2209.821,False,,,
95,3.0,Free,Large,1.0,2230.071,2234.313,2236.381,True,,Loss,
96,3.0,Free,Small,1.0,2257.276,2264.303,2265.6190000000006,False,,,Lose Shift
97,3.0,Free,Small,1.0,2279.152,2282.737,2283.982,False,,,
98,3.0,Free,Small,1.0,2305.0030000000006,2332.4359999999997,2333.468,False,,,
99,3.0,Free,Small,1.0,2345.924,2347.741,2348.598,False,,,
