Frame,C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24
0,9.412352,10.4657,0.8077708,-0.03398648,6.692501,3.00887,-2.006787,2.009156,5.145135,24.36901,6.054147,1.366441,-1.294117,-0.2988809,0.8191108,3.563992,5.235573,3.123116,3.246684,-1.268802,2.540006,1.033431,20.60666,1.280193,2.810758
1,8.60219,8.568028,0.2712736,-0.4198268,7.158412,1.857044,-0.09499715,0.2940624,4.484978,25.26057,4.133007,-0.08524218,0.00399944,0.3426505,-0.2021399,2.648389,5.240453,4.679353,2.311812,-2.656217,0.9084435,-0.003242374,25.94891,2.163089,2.545113
2,7.165277,12.53543,0.5562426,-0.5109547,7.21185,4.611554,-0.4857281,0.1574785,5.117662,24.78942,4.221329,1.92774,-0.2996792,0.615651,1.30759,1.776765,5.395301,6.188826,1.828328,-1.402303,0.4545421,1.581602,27.94886,3.581944,4.237365
3,6.542566,16.20193,0.8147159,-1.301373,8.66005,3.369148,0.3090114,-0.01820488,2.99027,24.51769,2.743813,0.4441177,-3.201505,-0.5616992,0.4444668,1.622869,4.665171,6.718541,3.390628,0.1597237,1.179593,0.9661753,32.75874,0.6977444,5.801449
4,7.167908,19.58802,-1.721882,-1.048073,9.194607,2.496264,0.8725528,-0.9675858,6.716383,26.34942,1.468032,1.59006,-2.113442,1.980884,-0.0506892,1.228794,4.67593,6.52589,2.14868,1.651183,0.6421552,1.152577,38.13295,-0.04345094,4.491478
5,7.079799,19.24991,-0.2131962,-1.962486,9.653512,2.300716,0.2796709,0.4344362,4.860134,29.19241,2.096221,-0.08246985,-2.837709,1.193593,0.2749459,0.4010684,5.895575,5.905023,1.57588,1.637569,3.493928,2.368711,43.48477,0.753473,4.833852
6,6.346503,20.3909,-0.940283,-0.9558614,9.355987,2.366876,1.483551,0.5029402,5.359179,31.64756,0.8152099,-0.2246277,-2.305405,2.983704,2.239559,0.4102681,5.018131,4.786322,2.843831,-2.25281,0.1716841,1.428155,47.93148,-2.054406,3.707494
7,7.265174,19.17693,-0.06273594,-1.120095,12.33109,-0.9836862,0.1204707,1.848709,4.063599,32.2067,3.042374,-1.803879,-3.097909,-0.8701911,-0.8729693,-0.02736017,6.373812,2.162427,1.046934,-1.515679,0.0438693,1.088559,48.44497,-1.606877,3.683543
8,7.071666,18.61251,-1.640033,-1.207406,9.451221,1.630336,0.008786927,2.307186,5.493285,31.24351,2.423811,0.9792773,-1.468615,1.862772,0.3794247,-0.5378665,4.998677,3.548277,1.328022,-1.992573,0.5015125,2.296797,48.06017,-1.10648,3.685359
9,6.309812,16.66354,-1.374005,-1.282475,7.521807,1.675408,-1.150466,0.687595,6.473225,30.14127,2.763214,-2.150084,-1.790232,-0.2274909,-1.486916,-0.543907,6.657538,3.137074,-0.616942,-3.085376,1.328276,1.201137,47.01143,0.2401026,3.223057
10,8.144958,11.82241,-2.601739,-4.768502,12.6551,-1.582125,-0.2628402,0.266495,5.551415,29.6154,2.708057,-2.669516,-2.498389,-4.00451,-1.483209,0.8600854,1.796772,-0.2307373,-1.916613,-5.028094,-1.435805,-0.2791671,46.32262,0.4369701,0.3293772
11,8.772817,10.96253,0.3261806,-1.870106,11.3423,-0.9781683,-1.014735,4.175036,4.124071,28.94471,3.010595,-1.158164,-1.662325,-2.737143,-0.7793004,-3.027554,4.140731,-1.555933,0.4791642,-3.091525,-0.4658164,-3.348504,46.54051,-0.67926,-2.218647
12,8.801152,9.607863,-0.340868,-2.621286,10.73788,1.326116,-1.787033,3.197782,6.205755,28.61126,1.610041,-1.726776,-1.846716,-1.30292,-1.240098,-1.091044,5.999106,0.07717022,-0.4577919,-3.926887,1.366605,-1.853796,50.39071,-1.220615,0.4854743
13,9.379276,8.384506,-0.008522848,-2.317607,7.567719,2.255947,-1.226691,2.064702,3.754144,25.46994,0.8947403,-1.077587,0.2576123,-1.603413,-0.724293,-1.768477,2.057041,1.883309,0.53992,-1.636482,1.478663,-0.4700446,54.31599,-0.5487256,2.186863
14,9.739079,10.28122,1.353958,-1.533587,8.000013,1.837337,-1.784769,2.281953,4.198647,25.52029,-0.342317,1.758615,-1.1646,-0.792752,0.8874877,-1.956128,3.757519,2.403928,2.601003,-2.166795,0.7761009,-0.1168145,52.89325,-2.107209,1.827964
15,8.902923,7.397322,0.7568747,-3.722927,9.009676,2.775433,-0.09049394,0.7564922,1.496931,21.63771,-0.08369683,2.636827,-0.9945226,-1.300781,0.04472607,-3.017562,2.985374,1.15067,1.798566,-2.500044,0.04562414,0.007719927,53.57223,-1.502836,2.329682
